scenario,region,fuel,Units,1990,2005,2010,2015,2020,2025,2030,2035
ExecRollback,MN,elect_td_bld,1975$/GJ,14.328,12.6014,12.4123,11.6872,7.67365,7.35095,7.69206,7.85598
ExecRollback,MO,elect_td_bld,1975$/GJ,14.4579,12.8543,12.9614,12.3895,8.04789,7.55678,7.94634,8.24826
ExecRollback,MS,elect_td_bld,1975$/GJ,15.1924,13.5531,13.4678,12.0235,7.83192,7.66916,8.0029,8.37273
ExecRollback,MT,elect_td_bld,1975$/GJ,14.7989,12.8496,12.8226,11.9323,7.59724,6.80626,7.00378,7.39684
ExecRollback,NC,elect_td_bld,1975$/GJ,15.1924,13.5531,13.4678,12.0235,7.83237,7.66988,8.00404,8.3739
ExecRollback,ND,elect_td_bld,1975$/GJ,14.328,12.6014,12.4123,11.6872,7.67417,7.35168,7.69334,7.85722
ExecRollback,NE,elect_td_bld,1975$/GJ,14.328,12.6014,12.4123,11.6872,7.67761,7.35671,7.7033,7.86808
ExecRollback,New England grid,delivered gas,1975$/GJ,2.98703,4.05426,4.0632,3.16018,2.87701,3.19071,2.9527,3.21119
ExecRollback,New England grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
ExecRollback,New York grid,delivered gas,1975$/GJ,2.90433,3.97156,3.9805,3.07748,2.79431,3.10801,2.87,3.12849
ExecRollback,New York grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
ExecRollback,NH,elect_td_bld,1975$/GJ,15.6231,15.0869,15.04,13.1461,8.89949,8.23111,8.60967,9.17781
ExecRollback,NJ,elect_td_bld,1975$/GJ,14.5636,13.5002,13.537,12.2164,8.48378,7.70062,8.48521,9.6198
